Manual_ID,project_name,createTime,publishTime,capitalSourceName,digest,fdid,Tender_type,project_url
1,Procurement of 0687-234020230071/03 Sichuan University West China Hospital small animal energy metabolism detection system and other procurement projects(1),2023-10-27,2023-10-27,Currency,"0687-234020230071/03,Sichuan University West China Hospital small animal energy metabolism detection system and other procurement projects",ff808081870df1e9018b7048b52d5481,New Tenders,http://en.chinabidding.mofcom.gov.cn/bidDetail/bidding/bulletin/202310/ff808081870df1e9018b7048b52d5481.html
2,Procurement of 0687-234020230071/04 Sichuan University West China Hospital small animal energy metabolism detection system and other procurement projects(1),2023-10-27,2023-10-27,Currency,"0687-234020230071/04,Sichuan University West China Hospital small animal energy metabolism detection system and other procurement projects",ff808081870df1e9018b7048b52d5489,New Tenders,http://en.chinabidding.mofcom.gov.cn/bidDetail/bidding/bulletin/202310/ff808081870df1e9018b7048b52d5489.html
3,Procurement of 0687-234020230071/02 Sichuan University West China Hospital small animal energy metabolism detection system and other procurement projects(1),2023-10-27,2023-10-27,Currency,"0687-234020230071/02,Sichuan University West China Hospital small animal energy metabolism detection system and other procurement projects",ff808081870df1e9018b7046ead451cf,New Tenders,http://en.chinabidding.mofcom.gov.cn/bidDetail/bidding/bulletin/202310/ff808081870df1e9018b7046ead451cf.html
4,Procurement of 0613-234024165101 Energy flow data acquisition system(2),2023-10-27,2023-10-27,Currency,"0613-234024165101,Energy flow data acquisition system",ff808081870df1e9018b7046ead451df,New Tenders,http://en.chinabidding.mofcom.gov.cn/bidDetail/bidding/bulletin/202310/ff808081870df1e9018b7046ead451df.html
5,Procurement of 0687-234020230071/01 Sichuan University West China Hospital small animal energy metabolism detection system and other procurement projects(1),2023-10-27,2023-10-27,Currency,"0687-234020230071/01,Sichuan University West China Hospital small animal energy metabolism detection system and other procurement projects",ff808081870df1e9018b7046ead451d7,New Tenders,http://en.chinabidding.mofcom.gov.cn/bidDetail/bidding/bulletin/202310/ff808081870df1e9018b7046ead451d7.html
6,Procurement of 0704-2340JDCP2174 ZHEJIANG LNG Phase III Project Terminal Project Cryogenic Axial Flow Check Valve(1),2023-10-27,2023-10-27,Currency,"0704-2340JDCP2174,ZHEJIANG LNG Phase III Project Terminal Project Cryogenic Axial Flow Check Valve",ff808081870df1e9018b703e9dad4952,Tender Changes,http://en.chinabidding.mofcom.gov.cn/bidDetail/bidding/bulletin/202310/ff808081870df1e9018b703e9dad4952.html
7,"Procurement of 3230-234000110023 Lanzhou Institute of Biological Products Co. , Ltd. . Scale procurement project(2)",2023-10-27,2023-10-27,Currency,"3230-234000110023,Lanzhou Institute of Biological Products Co. , Ltd. . Scale procurement project",ff808081870df1e9018b703a119c4483,New Tenders,http://en.chinabidding.mofcom.gov.cn/bidDetail/bidding/bulletin/202310/ff808081870df1e9018b703a119c4483.html
8,"Procurement of 0730-234011SZ0366/01 GreaTech Substrates Co., Ltd. Project-Blind Hole Inspection Machine(1)",2023-10-27,2023-10-27,Currency,"0730-234011SZ0366/01,GreaTech Substrates Co., Ltd. Project-Blind Hole Inspection Machine",ff808081870df1e9018b7034c5793ee1,New Tenders,http://en.chinabidding.mofcom.gov.cn/bidDetail/bidding/bulletin/202310/ff808081870df1e9018b7034c5793ee1.html
9,Procurement of 1200-234GB2023018 Fully automatic blood type analyzer(1),2023-10-27,2023-10-27,Currency,"1200-234GB2023018,Fully automatic blood type analyzer",ff808081870df1e9018b7032b5c73cde,New Tenders,http://en.chinabidding.mofcom.gov.cn/bidDetail/bidding/bulletin/202310/ff808081870df1e9018b7032b5c73cde.html
10,Procurement of 0730-234011SZ0350/03 NanTong SCC Project -Direct Imaging Machine(1),2023-10-27,2023-10-27,Currency,"0730-234011SZ0350/03,NanTong SCC Project -Direct Imaging Machine",ff808081870df1e9018b7032b5c83cee,New Tenders,http://en.chinabidding.mofcom.gov.cn/bidDetail/bidding/bulletin/202310/ff808081870df1e9018b7032b5c83cee.html
11,Procurement of 0664-2340SUMECK38 Raw material synthesis furnace(1),2023-10-27,2023-10-27,Currency,"0664-2340SUMECK38,Raw material synthesis furnace",ff808081870df1e9018b7032b5c83ce6,New Tenders,http://en.chinabidding.mofcom.gov.cn/bidDetail/bidding/bulletin/202310/ff808081870df1e9018b7032b5c83ce6.html
12,Procurement of 1289-234023ZB1481 Procurement of laser annealing equipment for Yandong Group(2),2023-10-27,2023-10-27,Currency,"1289-234023ZB1481,Procurement of laser annealing equipment for Yandong Group",ff808081870df1e9018b702d41d336e6,New Tenders,http://en.chinabidding.mofcom.gov.cn/bidDetail/bidding/bulletin/202310/ff808081870df1e9018b702d41d336e6.html
13,Procurement of 0720-2340zbzx0225 extrusion and pelletizing unit(2),2023-10-27,2023-10-27,Currency,"0720-2340zbzx0225,extrusion and pelletizing unit",ff808081870df1e9018b702b6cc434af,New Tenders,http://en.chinabidding.mofcom.gov.cn/bidDetail/bidding/bulletin/202310/ff808081870df1e9018b702b6cc434af.html
14,"Procurement of 0664-2340SUMECK24/05 3D tool microscope, three-dimensional measuring instrument(1)",2023-10-27,2023-10-27,Currency,"0664-2340SUMECK24/05,3D tool microscope, three-dimensional measuring instrument",ff808081870df1e9018b702b6cc534ce,Evaluation Results,http://en.chinabidding.mofcom.gov.cn/bidDetail/bidding/bulletin/202310/ff808081870df1e9018b702b6cc534ce.html
15,"Procurement of 0664-2340SUMECK24/01 Automatic wafer grinding and laminating machine, automatic wafer UV glue machine(1)",2023-10-27,2023-10-27,Currency,"0664-2340SUMECK24/01,Automatic wafer grinding and laminating machine, automatic wafer UV glue machine",ff808081870df1e9018b702b6cc534c8,Evaluation Results,http://en.chinabidding.mofcom.gov.cn/bidDetail/bidding/bulletin/202310/ff808081870df1e9018b702b6cc534c8.html
16,"Procurement of 0664-2340SUMECK24/03 Ball planting machine, laser cutting machine, automatic laser marking machine, automatic tin ball testing machine(1)",2023-10-27,2023-10-27,Currency,"0664-2340SUMECK24/03,Ball planting machine, laser cutting machine, automatic laser marking machine, automatic tin ball testing machine",ff808081870df1e9018b702b6cc534c2,Evaluation Results,http://en.chinabidding.mofcom.gov.cn/bidDetail/bidding/bulletin/202310/ff808081870df1e9018b702b6cc534c2.html
17,"Procurement of 0664-2340SUMECK24/02 Automatic die press, nitrogen backwelding furnace, automatic finished product cutting machine, guide Angle cutting machine(1)",2023-10-27,2023-10-27,Currency,"0664-2340SUMECK24/02,Automatic die press, nitrogen backwelding furnace, automatic finished product cutting machine, guide Angle cutting machine",ff808081870df1e9018b702b6cc434bc,Evaluation Results,http://en.chinabidding.mofcom.gov.cn/bidDetail/bidding/bulletin/202310/ff808081870df1e9018b702b6cc434bc.html
18,"Procurement of 0664-2340SUMECT46/04 X-ray remote control afterloading treatment machine, Operating microscope(1)",2023-10-27,2023-10-27,Currency,"0664-2340SUMECT46/04,X-ray remote control afterloading treatment machine, Operating microscope",ff808081870df1e9018b702b6cc434b6,Evaluation Results,http://en.chinabidding.mofcom.gov.cn/bidDetail/bidding/bulletin/202310/ff808081870df1e9018b702b6cc434b6.html
19,Procurement of 0664-2340SUMECT46/02 Optical Interference Tomography Moving System OCT(1),2023-10-27,2023-10-27,Currency,"0664-2340SUMECT46/02,Optical Interference Tomography Moving System OCT",ff808081870df1e9018b702b6cc434a8,Evaluation Results,http://en.chinabidding.mofcom.gov.cn/bidDetail/bidding/bulletin/202310/ff808081870df1e9018b702b6cc434a8.html
20,"Procurement of 0664-2340SUMECK24/06 Non oxidation oven, online plasma cleaning machine, cavity plasma cleaning machine, and connected pure water cleaning machine(1)",2023-10-27,2023-10-27,Currency,"0664-2340SUMECK24/06,Non oxidation oven, online plasma cleaning machine, cavity plasma cleaning machine, and connected pure water cleaning machine",ff808081870df1e9018b702b6cc3349a,Evaluation Results,http://en.chinabidding.mofcom.gov.cn/bidDetail/bidding/bulletin/202310/ff808081870df1e9018b702b6cc3349a.html
21,"Procurement of 0664-2340SUMECK24/04 Push-pull tester, ultrasonic tomography scanner(1)",2023-10-27,2023-10-27,Currency,"0664-2340SUMECK24/04,Push-pull tester, ultrasonic tomography scanner",ff808081870df1e9018b702b6cc33494,Evaluation Results,http://en.chinabidding.mofcom.gov.cn/bidDetail/bidding/bulletin/202310/ff808081870df1e9018b702b6cc33494.html
22,"Procurement of 0664-2340SUMECT46/03 SPECT/CT,dual energy x ray absorptiometry(1)",2023-10-27,2023-10-27,Currency,"0664-2340SUMECT46/03,SPECT/CT,dual energy x ray absorptiometry",ff808081870df1e9018b702b6cc3348e,Evaluation Results,http://en.chinabidding.mofcom.gov.cn/bidDetail/bidding/bulletin/202310/ff808081870df1e9018b702b6cc3348e.html
